Display Name,Barcode,Case
ASC_1001_Carrie-Tote_RM (Black),ASC_1001_Black,
ASC_1001_Carrie-Tote_RM (Cream),ASC_1001_Cream,
"ASC_4008_Womens-Tee_RM (XS, Athletic-Heather)",ASC4008AH-XS,
"ASC_4008_Womens-Tee_RM (XS, Black)",ASC4008B-XS,
"ASC_4008_Womens-Tee_RM (XS, Coal)",ASC4008Co-XS,
"ASC_4008_Womens-Tee_RM (XS, White)",ASC4008W-XS,
"ASC_4008_Womens-Tee_RM (S, Athletic-Heather)",ASC4008AH-S,
"ASC_4008_Womens-Tee_RM (S, Black)",ASC4008B-S,
"ASC_4008_Womens-Tee_RM (S, Coal)",ASC4008Co-S,
"ASC_4008_Womens-Tee_RM (S, White)",ASC4008W-S,
"ASC_4008_Womens-Tee_RM (M, Athletic-Heather)",ASC4008AH-M,
"ASC_4008_Womens-Tee_RM (M, Black)",ASC4008B-M,
"ASC_4008_Womens-Tee_RM (M, Coal)",ASC4008Co-M,
"ASC_4008_Womens-Tee_RM (M, White)",ASC4008W-M,
"ASC_4008_Womens-Tee_RM (L, Athletic-Heather)",ASC4008AH-L,
"ASC_4008_Womens-Tee_RM (L, Black)",ASC4008B-L,
"ASC_4008_Womens-Tee_RM (L, Coal)",ASC4008Co-L,
"ASC_4008_Womens-Tee_RM (L, White)",ASC4008W-L,
"ASC_4008_Womens-Tee_RM (XL, Athletic-Heather)",ASC4008AH-XL,
"ASC_4008_Womens-Tee_RM (XL, Black)",ASC4008B-XL,
"ASC_4008_Womens-Tee_RM (XL, Coal)",ASC4008Co-XL,
"ASC_4008_Womens-Tee_RM (XL, White)",ASC4008W-XL,
"ASC_5001_Mens-Tee_RM  (S, Athletic-Heather)",ASC5001AH-S,
"ASC_5001_Mens-Tee_RM  (S, Black)",ASC5001B-S,
"ASC_5001_Mens-Tee_RM  (S, Charcoal)",ASC5001Co-S,
"ASC_5001_Mens-Tee_RM  (S, Navy)",ASC5001N-S,
"ASC_5001_Mens-Tee_RM  (S, White)",ASC5001W-S,
"ASC_5001_Mens-Tee_RM  (M, Athletic-Heather)",ASC5001AH-M,
"ASC_5001_Mens-Tee_RM  (M, Black)",ASC5001B-M,
"ASC_5001_Mens-Tee_RM  (M, Charcoal)",ASC5001Co-M,
"ASC_5001_Mens-Tee_RM  (M, Navy)",ASC5001N-M,
"ASC_5001_Mens-Tee_RM  (M, White)",ASC5001W-M,
"ASC_5001_Mens-Tee_RM  (L, Athletic-Heather)",ASC5001AH-L,
"ASC_5001_Mens-Tee_RM  (L, Black)",ASC5001B-L,
"ASC_5001_Mens-Tee_RM  (L, Charcoal)",ASC5001Co-L,
"ASC_5001_Mens-Tee_RM  (L, Navy)",ASC5001N-L,
"ASC_5001_Mens-Tee_RM  (L, White)",ASC5001W-L,
"ASC_5001_Mens-Tee_RM  (XL, Athletic-Heather)",ASC5001AH-XL,
"ASC_5001_Mens-Tee_RM  (XL, Black)",ASC5001B-XL,
"ASC_5001_Mens-Tee_RM  (XL, Charcoal)",ASC5001Co-XL,
"ASC_5001_Mens-Tee_RM  (XL, Navy)",ASC5001N-XL,
"ASC_5001_Mens-Tee_RM  (XL, White)",ASC5001W-XL,
"ASC_5001_Mens-Tee_RM  (2XL, Athletic-Heather)",ASC5001AH-2XL,
"ASC_5001_Mens-Tee_RM  (2XL, Black)",ASC5001B-2XL,
"ASC_5001_Mens-Tee_RM  (2XL, Charcoal)",ASC5001Co-2XL,
"ASC_5001_Mens-Tee_RM  (2XL, Navy)",ASC5001N-2XL,
"ASC_5001_Mens-Tee_RM  (2XL, White)",ASC5001W-2XL,
"ASC_5001_Mens-Tee_RM  (3XL, Athletic-Heather)",ASC5001AH-3XL,
"ASC_5001_Mens-Tee_RM  (3XL, Black)",ASC5001B-3XL,
"ASC_5001_Mens-Tee_RM  (3XL, Charcoal)",ASC5001Co-3XL,
"ASC_5001_Mens-Tee_RM  (3XL, Navy)",ASC5001N-3XL,
"ASC_5001_Mens-Tee_RM  (3XL, White)",ASC5001W-3XL,
"ASC_5075_Staple-Plus-Tee_RM  (S, Black)",ASC5075B-S,
"ASC_5075_Staple-Plus-Tee_RM  (S, White)",ASC5075W-S,
"ASC_5075_Staple-Plus-Tee_RM  (M, Black)",ASC5075B-M,
"ASC_5075_Staple-Plus-Tee_RM  (M, White)",ASC5075W-M,
"ASC_5075_Staple-Plus-Tee_RM  (L, Black)",ASC5075B-L,
"ASC_5075_Staple-Plus-Tee_RM  (L, White)",ASC5075W-L,
"ASC_5075_Staple-Plus-Tee_RM  (XL, Black)",ASC5075B-XL,
"ASC_5075_Staple-Plus-Tee_RM  (XL, White)",ASC5075W-XL,
"ASC_5075_Staple-Plus-Tee_RM  (2XL, Black)",ASC5075B-2XL,
"ASC_5075_Staple-Plus-Tee_RM  (2XL, White)",ASC5075W-2XL,
"BC_3001CVC_Unisex-Tee_RM  (S, Athletic-Heather)",846503054528,72
"BC_3001CVC_Unisex-Tee_RM  (S, Dark-Grey-Heather)",884913111356,72
"BC_3001CVC_Unisex-Tee_RM  (S, Heather-Aqua)",884913545700,72
"BC_3001CVC_Unisex-Tee_RM  (S, Heather-Ice-Blue)",884913640528,72
"BC_3001CVC_Unisex-Tee_RM  (S, Heather-Kelly)",884913388826,72
"BC_3001CVC_Unisex-Tee_RM  (S, Heather-Mauve)",884913634329,72
"BC_3001CVC_Unisex-Tee_RM  (S, Heather-Navy)",884913286870,72
"BC_3001CVC_Unisex-Tee_RM  (S, Heather-Peach)",884913546189,72
"BC_3001CVC_Unisex-Tee_RM  (S, Heather-Red)",884913313354,72
"BC_3001CVC_Unisex-Tee_RM  (S, Heather-True-Royal)",884913313439,72
"BC_3001CVC_Unisex-Tee_RM  (M, Athletic-Heather)",846503054535,72
"BC_3001CVC_Unisex-Tee_RM  (M, Dark-Grey-Heather)",884913111363,72
"BC_3001CVC_Unisex-Tee_RM  (M, Heather-Aqua)",884913545717,72
"BC_3001CVC_Unisex-Tee_RM  (M, Heather-Ice-Blue)",884913640535,72
"BC_3001CVC_Unisex-Tee_RM  (M, Heather-Kelly)",884913388833,72
"BC_3001CVC_Unisex-Tee_RM  (M, Heather-Mauve)",884913634336,72
"BC_3001CVC_Unisex-Tee_RM  (M, Heather-Navy)",884913285156,72
"BC_3001CVC_Unisex-Tee_RM  (M, Heather-Peach)",884913546196,72
"BC_3001CVC_Unisex-Tee_RM  (M, Heather-Red)",884913313361,72
"BC_3001CVC_Unisex-Tee_RM  (M, Heather-True-Royal)",884913313446,72
"BC_3001CVC_Unisex-Tee_RM  (L, Athletic-Heather)",846503054542,72
"BC_3001CVC_Unisex-Tee_RM  (L, Dark-Grey-Heather)",884913111370,72
"BC_3001CVC_Unisex-Tee_RM  (L, Heather-Aqua)",884913545724,72
"BC_3001CVC_Unisex-Tee_RM  (L, Heather-Ice-Blue)",884913640542,72
"BC_3001CVC_Unisex-Tee_RM  (L, Heather-Kelly)",884913388840,72
"BC_3001CVC_Unisex-Tee_RM  (L, Heather-Mauve)",884913634343,72
"BC_3001CVC_Unisex-Tee_RM  (L, Heather-Navy)",884913285231,72
"BC_3001CVC_Unisex-Tee_RM  (L, Heather-Peach)",884913544161,72
"BC_3001CVC_Unisex-Tee_RM  (L, Heather-Red)",884913313378,72
"BC_3001CVC_Unisex-Tee_RM  (L, Heather-True-Royal)",884913313453,72
"BC_3001CVC_Unisex-Tee_RM  (XL, Athletic-Heather)",846503054559,72
"BC_3001CVC_Unisex-Tee_RM  (XL, Dark-Grey-Heather)",884913111387,72
"BC_3001CVC_Unisex-Tee_RM  (XL, Heather-Aqua)",884913545731,72
"BC_3001CVC_Unisex-Tee_RM  (XL, Heather-Ice-Blue)",884913640559,72
"BC_3001CVC_Unisex-Tee_RM  (XL, Heather-Kelly)",884913388857,72
"BC_3001CVC_Unisex-Tee_RM  (XL, Heather-Mauve)",884913634350,72
"BC_3001CVC_Unisex-Tee_RM  (XL, Heather-Navy)",884913285316,72
"BC_3001CVC_Unisex-Tee_RM  (XL, Heather-Peach)",884913544178,72
"BC_3001CVC_Unisex-Tee_RM  (XL, Heather-Red)",884913313385,72
"BC_3001CVC_Unisex-Tee_RM  (XL, Heather-True-Royal)",884913313460,72
"BC_3001CVC_Unisex-Tee_RM  (2XL, Athletic-Heather)",846503054566,72
"BC_3001CVC_Unisex-Tee_RM  (2XL, Dark-Grey-Heather)",884913111394,72
"BC_3001CVC_Unisex-Tee_RM  (2XL, Heather-Aqua)",884913545748,72
"BC_3001CVC_Unisex-Tee_RM  (2XL, Heather-Ice-Blue)",884913640566,72
"BC_3001CVC_Unisex-Tee_RM  (2XL, Heather-Kelly)",884913388864,72
"BC_3001CVC_Unisex-Tee_RM  (2XL, Heather-Mauve)",884913634367,72
"BC_3001CVC_Unisex-Tee_RM  (2XL, Heather-Navy)",884913285392,72
"BC_3001CVC_Unisex-Tee_RM  (2XL, Heather-Peach)",884913544185,72
"BC_3001CVC_Unisex-Tee_RM  (2XL, Heather-Red)",884913313392,72
